name,barrio,parroquia,address,gps
2 DE AGOSTO,2 DE AGOSTO,ELOY ALFARO,"BARRIO 2 DE AGOSTO, JUNTO A LA SEDE BARRIAL","https://www.google.com/maps/place/0%C2%B058'47.5%22S+80%C2%B042'33.0%22W/@-0.9798656,-80.7113638,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x2a662080e39bc9c2!8m2!3d-0.9798656!4d-80.7091751?hl=es"
CARITA SONRIENTE,SAN LORENZO,SAN LORENZO,"PARROQUIA SAN LORENZO, FRENTE AL GAD PARROQUIAL","https://www.google.com/maps/place/1%C2%B003'52.9%22S+80%C2%B054'17.4%22W/@-1.0646978,-80.9070212,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x987d3dc893195b2f!8m2!3d-1.0646978!4d-80.9048325?hl=es"
LA PRADERA,LA PRADERA,LOS ESTEROS,"LA PRADERA Mz Z Av, 10, DIAGONAL A PISCINA TIA MARY","https://www.google.com/maps/place/0%C2%B058'45.7%22S+80%C2%B041'27.7%22W/@-0.9793517,-80.6932057,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xeea9bce0b4e37d97!8m2!3d-0.9793517!4d-80.691017?hl=es"
MARIA AUXILIADORA,SAN ANTONIO,ELOY ALFARO,CALLE 304 AV. 219 ATR�S DE HOTEL MAYITA,"https://www.google.com/maps/place/0%C2%B058'28.0%22S+80%C2%B042'52.4%22W/@-0.9744399,-80.7167555,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x2fe624cebc15c955!8m2!3d-0.9744399!4d-80.7145668?hl=es"
MI DULCE HOGAR,LAS CUMBRES,TARQUI,CALLE 291 AV. 53 FRENTE A PAPELERIA EL DORADO,"https://www.google.com/maps/place/0%C2%B058'18.1%22S+80%C2%B043'30.4%22W/@-0.9716941,-80.7272928,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xde4abc1370a5f7d6!8m2!3d-0.9716941!4d-80.7251041?hl=es"
NI�O JES�S,LA ENSENADITA,MANTA,AVENIDA LA CULTURA,https://goo.gl/maps/n2n3941utFNE3EQV6
RINCONCITO DE AMOR,20 DE MAYO,TARQUI,"CALLE 20 DE MAYO, ATR�S DEL UPC","https://www.google.com/maps/place/0%C2%B058'26.9%22S+80%C2%B043'09.2%22W/@-0.9741483,-80.7214143,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x456834c8c20db9fb!8m2!3d-0.9741483!4d-80.7192256?hl=es"
SAN IGNACIO LOYOLA,SAN IGNACIO LOYOLA,ELOY ALFARO,CALLE 317 No. B INTERSECCI�N C7,"https://www.google.com/maps/place/0%C2%B058'43.2%22S+80%C2%B042'15.9%22W/@-0.9786682,-80.7066134,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xbb64bd1021840e87!8m2!3d-0.9786682!4d-80.7044247?hl=es"
SAN JOSE,EL PARAISO ,LOS ESTEROS ,BARRIO EL PARAISO POR MARATEA,https://maps.google.com/maps?q=-0.967247486114502%2C-80.67920684814453&z=17&hl=es
SAN PATRICIO ,SANTA MARTHA ,MANTA ,POR LA CANCHA DE SANTA MARTHA; ANTIGUO CDI TIMONELES ,https://maps.google.com/maps?q=-0.9538102%2C-80.7347909&z=17&hl=es
SANTA MARGARITA,LAS COLINAS,ELOY ALFARO,CALLE 324 AV. 214 Y 215,"https://www.google.com/maps?q=-0.984923,-80.6999574&z=17&hl=es"
SANTA MARIANITA,SANTA MARIANITA,SANTA MARIANITA,"PARROQUIA SANTA MARIANITA, VIA A PACOCHE ANTES DE LA JUNTA PARROQUIAL DE SANTAMARIANITA","https://www.google.com/maps/place/0%C2%B059'55.4%22S+80%C2%B051'01.3%22W/@-0.9987329,-80.8525452,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x6103ae63e1d82484!8m2!3d-0.9987329!4d-80.8503565?hl=es"
